workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,95,filling,1,right,Purple_Triangle_Dots_3.jpg,Red_Triangle_Stripes_4.jpg,Blue_Plus_Dots_1.jpg,left,617,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,96,filling,0,right,Green_Triangle_Chess_2.jpg,Purple_Triangle_Grid_4.jpg,Red_Circle_Chess_1.jpg,right,873,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,97,filling,1,left,Purple_Star_Chess_3.jpg,Blue_Triangle_Chess_1.jpg,Red_Star_Stripes_4.jpg,right,644,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,98,filling,1,right,Green_Triangle_Dots_2.jpg,Red_Triangle_Chess_3.jpg,Blue_Plus_Dots_4.jpg,right,1026,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,99,filling,1,right,Green_Star_Chess_2.jpg,Purple_Star_Dots_1.jpg,Blue_Triangle_Chess_4.jpg,right,831,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,100,shape,1,left,Green_Star_Chess_3.jpg,Red_Star_Grid_4.jpg,Blue_Circle_Chess_2.jpg,right,836,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,101,shape,1,left,Blue_Plus_Grid_3.jpg,Purple_Plus_Chess_4.jpg,Green_Circle_Grid_2.jpg,right,1015,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,102,shape,1,left,Green_Circle_Dots_3.jpg,Red_Circle_Stripes_4.jpg,Blue_Triangle_Dots_1.jpg,left,683,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,103,shape,0,left,Green_Star_Chess_1.jpg,Blue_Star_Stripes_4.jpg,Red_Plus_Chess_2.jpg,left,687,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,104,shape,0,right,Blue_Triangle_Dots_4.jpg,Purple_Plus_Dots_3.jpg,Red_Triangle_Chess_1.jpg,left,911,false,high,NA,NA,NA,NA,NA,NA,NA,false
